merchantidentifier,dateclosedforfraud,Flag_for_data_with_fraud_outcomes
31447837,,1
31450009,,1
31460107,,1
31463707,,1
32200347,,1
32202807,,1
32205037,,1
32205267,,1
32205365,,1
32207793,,1
32216353,,1
32226881,,1
32224357,,1
32225249,,1
32226485,,1
32228251,,1
32228001,,1
32228531,,1
32228433,,1
32230707,,1
32232293,,1
32232703,,1
32233679,,1
32233829,,1
32234257,,1
31467685,,1
31467783,,1
31469747,,1
30892459,,1
30907115,,1
30892875,,1
30909623,,1
30895713,,1
30912013,,1
30898285,,1
30902229,,1
30909575,,1
30915067,,1
30924009,,1
30914587,,1
30927905,,1
30919521,2013-05-31,1
30920643,,1
29803875,,1
29804713,,1
33416249,,1
32071469,,1
32071485,,1
32038019,,1
32075511,,1
32076451,,1
32041421,,1
32081353,,1
32081469,,1
29805673,,1
32081947,,1
32044339,,1
30610277,,1
32085793,,1
30613841,,1
32046157,,1
30617139,,1
32650219,,1
32650287,,1
32651047,,1
32652001,,1
32659645,,1
32664975,,1
32677135,,1
32681607,,1
32683587,,1
32684031,,1
32684129,,1
32685155,,1
32688965,,1
32689397,,1
32689611,,1
32691969,,1
32695101,,1
32695779,,1
32695945,,1
32696025,,1
32697711,,1
32698599,,1
32699311,,1
32703949,,1
32704259,,1
32706899,,1
32711785,,1
32712495,,1
32715813,,1
32717429,,1
32722443,,1
32731867,,1
32732757,,1
32736717,,1
32748333,,1
32754273,,1
32755263,,1
32755445,,1
32758233,2013-08-06,1
32760015,,1
32705399,,1
30927775,,1
30930609,,1
30930791,,1
30932407,,1
30932505,,1
30934273,,1
30935543,,1
30936185,2013-09-04,1
30936335,,1
30937591,,1
30928069,,1
30938727,,1
30933199,,1
30871803,,1
30936731,,1
30882975,,1
30900315,,1
30904125,,1
30904855,,1
30906355,,1
30910461,,1
30919605,,1
30922159,,1
30924321,,1
33403529,,1
33329925,,1
33331955,,1
33417837,,1
33334063,,1
33334459,,1
33336059,,1
33336439,,1
33337481,,1
33337729,,1
33341127,,1
33343473,,1
33353637,,1
33364591,,1
33404301,,1
33405443,,1
33406729,,1
33407719,,1
33407771,,1
33409537,,1
33371655,,1
33371869,,1
33378201,,1
33378715,,1
33452997,,1
33457255,,1
33460537,,1
33461115,,1
33464265,,1
33464727,,1
33464977,,1
33457535,,1
33457733,,1
31470735,,1
31473705,,1
31479433,,1
31480023,,1
31983677,,1
31977685,,1
31984547,,1
31984829,,1
31961449,,1
31962189,,1
31963939,,1
31984235,,1
31985407,,1
33467073,,1
31986841,,1
33458621,,1
31992467,,1
33470119,,1
31987767,,1
32046173,,1
32046501,,1
32085893,,1
32048201,,1
32048779,,1
32049195,,1
32089801,,1
32050659,,1
32090195,,1
32051121,,1
32051851,,1
32094717,,1
32053779,,1
32148013,,1
32178421,2013-11-05,1
32179759,,1
32206371,,1
32206553,,1
32138309,,1
32713717,,1
32126431,,1
32714755,,1
32714937,,1
32150981,,1
32151461,,1
32722031,,1
32155853,,1
32658655,,1
32208929,,1
32659149,,1
32156989,,1
32664893,2015-12-18,1
31965873,,1
31990949,,1
31996411,,1
33470155,,1
31993805,,1
31994265,,1
33471113,,1
31970489,,1
33472069,,1
31970701,,1
33463623,,1
31973229,,1
33464067,,1
31996443,,1
33464415,,1
31978029,,1
33465025,,1
32722047,,1
32674739,,1
32724095,2013-09-21,1
32676689,,1
32725085,,1
32677995,,1
32689017,,1
32691323,,1
32694195,,1
32694757,,1
32695633,,1
32727627,,1
32738317,,1
31752439,,1
31755231,,1
32700449,,1
31763547,,1
33475685,2013-10-17,1
33475783,,1
33476243,,1
33468887,,1
33469465,,1
33469959,,1
33481791,,1
33482167,,1
33473673,,1
33484049,,1
33475949,,1
33478041,,1
33487715,,1
33478457,2014-05-06,1
33491639,,1
32140473,,1
32158307,,1
30617405,,1
29808539,2015-12-18,1
29808691,,1
29811397,,1
29814561,,1
29816015,,1
29818095,,1
29818855,,1
29820023,,1
30619155,,1
30619469,,1
30621001,,1
30627389,,1
30628525,,1
30634563,,1
29190651,,1
29191213,,1
29204639,,1
30636893,,1
30639299,,1
30642089,,1
30645673,,1
30646991,,1
30648341,,1
30655951,,1
30656245,,1
30664315,,1
30669547,,1
30677367,,1
29211701,,1
29213171,,1
29216105,,1
29216303,,1
29223469,,1
32159251,,1
32211471,,1
32159813,,1
31766831,,1
32214009,,1
32143957,,1
31768613,,1
32161975,,1
31775327,,1
32141545,,1
33235427,,1
32217791,,1
33236713,,1
32144365,,1
32700579,,1
32222143,,1
32700959,,1
33481297,,1
33498075,,1
33498917,,1
33487649,,1
33499777,,1
33501377,,1
33501493,,1
33502363,,1
33502613,,1
33491045,,1
33492759,,1
33505453,,1
33494113,2013-04-03,1
33507069,,1
33494327,,1
33507167,,1
33494609,,1
33366571,,1
33366701,,1
33495271,,1
33509345,,1
33495963,,1
33510797,,1
33496621,,1
33500185,,1
33512429,,1
33514013,,1
33514623,,1
33507183,,1
33507199,,1
33516519,,1
32147933,,1
33508355,,1
32701771,,1
33520183,,1
32224519,,1
32702627,2015-12-18,1
33525253,,1
32148029,,1
33789119,,1
32709411,,1
33771679,,1
32149071,,1
32741965,,1
32136131,,1
33773709,,1
32743879,,1
33791759,,1
33792103,,1
33775211,,1
33777785,2013-05-16,1
33609549,,1
33786993,,1
33611527,,1
33613523,,1
33795177,,1
33795193,,1
33797487,,1
33797867,,1
33798705,,1
33799945,,1
33802069,2013-05-14,1
33795059,,1
33796131,,1
33796329,,1
33798243,,1
33624629,,1
33625655,,1
33800567,,1
33627171,,1
33614083,,1
33615223,,1
33616905,,1
33800849,,1
33631693,,1
32167337,,1
32167717,,1
33801395,,1
33634709,,1
33801495,,1
33802235,,1
33636127,,1
33803125,,1
33636705,,1
33805075,,1
33805257,,1
33805669,,1
33805965,,1
33641739,,1
33806705,,1
33642235,,1
33807101,,1
33643293,,1
33809811,,1
33644511,,1
33810003,2013-08-06,1
32226119,,1
32167733,,1
32168109,,1
32168323,,1
32149285,,1
32227031,,1
32746817,,1
31487385,,1
32747989,,1
32748235,,1
31488657,,1
32752985,,1
32036585,,1
32759291,,1
32038831,,1
32761963,,1
32041175,2015-07-20,1
32156213,,1
32154759,,1
32146313,,1
32159433,,1
33976989,,1
33978109,,1
32365385,,1
33102455,,1
34056617,,1
33102783,,1
33104201,,1
33978657,,1
33104665,,1
34057409,,1
33104913,,1
34061849,,1
32686475,,1
34061947,,1
32686969,,1
34455571,,1
32688091,,1
34457485,,1
33106217,,1
30695219,,1
30695599,,1
30120341,,1
30120377,,1
30126037,,1
30702597,,1
30705021,,1
30132403,,1
30141861,,1
30715201,,1
30717149,,1
30717711,,1
30719327,,1
31152467,,1
31155077,,1
31155671,,1
31156723,,1
32576915,,1
32493819,,1
32577495,,1
32496211,,1
32579125,,1
32498587,,1
32586485,,1
32502167,,1
32588235,,1
32502449,,1
32502547,,1
32503323,,1
32591733,,1
32592209,,1
32509993,,1
32512629,,1
32594835,,1
32587839,,1
32590113,,1
32591301,,1
32592985,,1
32597425,,1
32605987,,1
32609881,,1
33159149,,1
33163439,,1
32510383,,1
32510483,,1
32512993,,1
32516855,,1
32548599,,1
32549129,,1
32550265,,1
32552957,,1
33106993,,1
33108031,,1
33108495,,1
33109717,,1
32694227,,1
32547993,,1
32550613,,1
32695763,,1
32696457,,1
32555183,,1
33215033,,1
33215777,,1
32556221,,1
32556569,,1
32700167,,1
32700417,,1
32700647,,1
33115573,,1
32560759,,1
33116017,,1
32560909,,1
32563979,,1
32711107,,1
32715531,,1
32717793,,1
33117867,,1
32718101,,1
32570939,,1
32721587,,1
32572061,,1
32572903,,1
33122583,,1
33124381,,1
32726403,,1
31156791,,1
31160601,,1
31161247,,1
31186259,,1
31187367,,1
34460091,,1
34576763,,1
34580395,,1
34587393,,1
34465175,,1
34231847,,1
33981709,,1
33982351,,1
33987353,,1
33988557,,1
33988673,,1
33989333,,1
30941369,,1
30942605,,1
30947539,,1
30949619,,1
30949687,,1
30344561,,1
31282933,,1
31283279,,1
31317287,,1
31319615,,1
31228267,,1
30952473,,1
30953117,,1
30954073,,1
32553301,,1
30954667,,1
31238067,,1
32554673,,1
32554985,,1
32610473,,1
32612005,,1
32616215,,1
32617933,,1
32618029,,1
32618309,,1
33166691,,1
33171013,,1
33171195,,1
33171377,,1
32626033,,1
32558681,,1
32562707,,1
32563005,,1
32563021,,1
33174807,,1
33175849,,1
33176423,,1
33179049,,1
33180467,,1
33181061,,1
33181987,,1
34469135,,1
33182133,,1
33182331,,1
33989547,,1
31718153,,1
33990583,,1
31718237,,1
33991311,,1
32570825,,1
34469829,,1
34469897,,1
34470021,,1
34472167,,1
34473375,,1
34474147,,1
34475455,,1
33040361,,1
33040659,,1
33043633,,1
32727329,,1
32727543,,1
32600871,,1
30956663,,1
32605377,,1
32553963,,1
32554557,,1
30347219,,1
31240609,,1
30970339,,1
30347781,,1
31242689,2013-11-11,1
31242819,,1
30976629,,1
30977869,,1
30352647,,1
30354081,,1
30354825,,1
30369265,,1
30372545,,1
30374197,2013-04-25,1
30380055,,1
30385833,,1
30386241,,1
33109255,,1
33111331,,1
33112155,,1
33050395,,1
33050875,,1
33114183,,1
33054355,,1
33056137,,1
33056483,,1
33056779,,1
33057773,,1
33062475,,1
33064289,,1
33067493,,1
33070393,,1
33071649,,1
33071681,,1
33265607,,1
33266133,,1
32757607,,1
33269171,,1
33270009,,1
32759025,,1
33271431,,1
33272171,,1
33272567,,1
33273359,,1
33275059,,1
33277851,,1
33279681,,1
32763481,,1
32763845,,1
32764965,,1
32769935,,1
33073379,,1
33075625,,1
33076349,,1
33078231,,1
33079419,,1
33079767,,1
33080013,,1
33082853,,1
33083597,,1
33087293,,1
33116397,,1
33090953,,1
33092669,,1
33093081,,1
33129399,,1
33093725,,1
33097519,,1
31352249,,1
31353571,,1
31354723,,1
31356871,,1
31359179,,1
31360681,,1
31362827,2014-02-24,1
30763961,,1
30764207,,1
30764603,,1
30766781,,1
30767723,,1
30778463,,1
30779869,,1
30781849,,1
30799157,,1
30799933,,1
30802187,,1
30842001,,1
30842679,,1
30849795,,1
31661261,,1
31665189,,1
31670253,,1
31670831,,1
31243813,,1
31671341,,1
31672697,,1
31674311,,1
30988459,,1
31674677,,1
30988577,,1
31679147,,1
30389413,,1
30391521,,1
30402591,,1
30405431,,1
30409339,,1
30412787,,1
30434535,,1
30436037,,1
30440341,,1
30441335,,1
30444833,,1
30454253,,1
30990753,,1
31247341,,1
31247507,,1
31249671,2013-05-21,1
31326359,,1
31335157,,1
32336127,,1
32606447,,1
32555449,,1
32607655,,1
32335471,,1
32559955,,1
32610519,,1
32335767,,1
32561503,,1
32612287,,1
32561753,,1
32563369,,1
32622171,,1
32565381,,1
32622469,,1
32622567,,1
32565845,,1
33130303,,1
32731553,,1
32732211,,1
33135801,,1
32734123,,1
32735331,,1
33140569,,1
33142681,,1
32741303,,1
33145951,,1
32744869,,1
32345371,,1
32746287,,1
33150271,,1
33151739,,1
33153557,,1
33154017,,1
31335553,,1
31336987,,1
31337483,,1
31337565,,1
31342251,,1
31347071,,1
31335189,,1
31335917,,1
32626543,,1
32568879,,1
32630419,,1
32570147,,1
32632201,2014-06-30,1
32572441,,1
32636921,,1
33154147,,1
32580893,,1
31188571,,1
31194327,,1
31195453,,1
31195499,,1
31198569,,1
31198867,,1
31202213,,1
31186919,,1
31206289,,1
31187071,,1
31209477,,1
31209705,,1
31189067,,1
31212639,,1
31214321,,1
31214405,,1
31216155,,1
31218631,,1
31194145,,1
31194459,,1
31197713,,1
31198601,,1
31199065,,1
31206949,,1
31210497,,1
31213185,,1
31213763,,1
31218267,,1
31219871,,1
31219901,,1
31221039,,1
31221075,,1
31228959,,1
31222705,,1
33098343,,1
33101199,,1
33104879,,1
33106925,,1
33107785,,1
33108459,,1
33108593,,1
33116081,,1
33116179,,1
33116345,,1
33122255,,1
33122963,,1
33124333,,1
33127585,2014-02-13,1
33137005,,1
33117319,,1
33138043,,1
30851259,,1
30862347,,1
31502745,,1
31504659,,1
31506061,,1
32774437,,1
31340119,,1
31819315,,1
30466993,,1
31822861,,1
30470769,,1
31824627,,1
31828869,,1
31344115,,1
31831639,,1
31347237,,1
32767691,,1
32581121,,1
32642565,,1
32643607,,1
32582295,,1
32582789,,1
32645305,,1
32646297,,1
32585977,,1
32648407,,1
32649679,,1
32651693,,1
32591187,,1
32654147,,1
32654511,,1
32655917,,1
32657055,,1
32596335,,1
32597575,,1
32599405,,1
32659347,,1
32601417,,1
32602189,,1
32663475,,1
32664825,,1
32668405,2013-09-03,1
32674063,,1
32677449,,1
32625209,,1
32678189,,1
32632253,,1
32635571,,1
32636625,,1
32638391,,1
32638621,,1
32686391,,1
31349379,2013-11-12,1
31349711,,1
31352661,,1
31349613,,1
31351441,,1
31352165,,1
31334709,,1
31336857,,1
31336889,,1
31340979,,1
31341047,,1
31341989,,1
31343277,,1
31343755,,1
31345637,,1
31346097,,1
31346393,,1
32754091,,1
32350467,,1
32352697,,1
32353123,,1
32758133,,1
32353571,,1
33158503,2014-02-17,1
33158983,,1
33160551,,1
32762953,,1
33161047,,1
32765081,,1
33161723,,1
32765627,,1
33162615,,1
33164397,,1
33164695,,1
33164893,,1
33166919,,1
33167961,,1
33168837,,1
32776615,,1
32385681,2013-09-26,1
33127767,,1
32437785,,1
33128013,,1
32438161,,1
33059769,,1
32638937,,1
32639235,,1
32639283,,1
32640091,,1
33062109,,1
33133441,,1
32643061,,1
32644727,,1
32644925,,1
32645077,,1
33065413,,1
33065923,,1
31719523,,1
31765163,,1
32386421,,1
32387843,,1
31624267,,1
32388717,,1
31628325,,1
31628805,,1
32395897,,1
32396537,,1
32399341,,1
32401369,,1
32403417,,1
32404289,,1
32404933,,1
32406285,,1
32408165,,1
33216101,,1
32683093,,1
32685353,,1
32689147,,1
32689461,,1
32640653,,1
32642055,,1
32644895,,1
32646609,,1
32649861,,1
33216779,,1
33221979,,1
33223365,,1
33223745,,1
32692247,,1
33225497,,1
32693157,,1
32779553,,1
32781019,,1
32782093,,1
32782967,,1
32784865,,1
32784963,,1
32785063,,1
32787557,,1
32787771,,1
32788345,2013-10-16,1
32791183,,1
32776085,,1
32778611,,1
32786085,,1
32794847,,1
32795295,,1
32799187,,1
33226169,,1
33227243,,1
33642547,2013-10-31,1
33231367,,1
33231467,,1
33659445,,1
32699807,,1
33643521,,1
33083925,,1
33661295,,1
33084551,,1
33650201,,1
33085113,,1
33661607,,1
33086433,,1
33651971,,1
33088907,,1
33664297,,1
33091481,,1
33653239,,1
33091813,,1
33664495,,1
33101085,,1
33664921,,1
33105873,,1
33667465,,1
33116725,,1
33657135,,1
33117601,,1
33669279,,1
33117981,,1
33669975,,1
33119581,,1
33670927,,1
33124433,,1
33128309,,1
33133029,,1
33603311,,1
33136427,,1
33660383,,1
33145489,,1
33675763,,1
32126479,,1
33680349,,1
32136527,,1
33660681,,1
32140123,,1
33473475,,1
32141117,,1
33661955,2013-10-29,1
32143145,,1
32274961,,1
32277139,,1
32280307,,1
32282981,,1
32284137,,1
32286117,,1
32286629,,1
32289301,,1
32373403,,1
32292567,,1
32293839,,1
32375335,,1
32376687,,1
32378717,,1
32378915,,1
32380151,,1
32382033,,1
33661987,,1
33662545,,1
33696075,,1
33667449,,1
33699045,,1
33576367,,1
33577159,,1
33578083,,1
33609997,,1
33610023,,1
33581567,,1
33583745,,1
31170401,,1
31171541,,1
31173241,,1
31422603,,1
31178571,,1
32442289,,1
33067805,,1
33137437,2013-07-12,1
32444565,,1
33068233,,1
33068759,,1
32445757,,1
32447291,,1
33070159,2013-06-24,1
33070493,,1
32143395,,1
32451859,,1
32145771,,1
32452187,,1
33077125,,1
32454631,,1
33077225,,1
33078413,,1
33078659,,1
32456841,,1
33156773,,1
32457387,,1
33079173,,1
32461265,,1
33161707,,1
32461629,,1
33162037,,1
32463129,,1
33162449,,1
33162713,,1
32465573,,1
33162761,,1
33166639,,1
33166757,,1
32472055,,1
32473691,,1
32474149,,1
32474811,,1
32475899,,1
33081929,,1
31752871,,1
31724557,,1
31724985,,1
31768597,,1
31754075,,1
31770045,,1
31754501,,1
31770773,,1
31727975,,1
31728633,,1
31731653,,1
31776099,,1
31778543,,1
31778643,,1
31738235,,1
31781533,,1
31738647,,1
32791845,,1
32799881,,1
32799915,,1
32794961,,1
32798411,,1
32799255,,1
32800173,,1
32803111,,1
31835881,,1
31837235,,1
33174359,,1
31839065,,1
32808277,,1
32811723,,1
33232321,,1
33232603,,1
33232801,,1
33233645,,1
33235541,,1
33237141,,1
33237969,,1
33238497,,1
33242175,,1
33244635,,1
31179545,,1
31184907,,1
30752607,,1
30753253,,1
30754687,,1
30757625,,1
31187997,,1
31191971,,1
31463823,,1
31465589,,1
31318407,,1
31318969,,1
31319927,,1
30755117,,1
30755795,,1
30757443,,1
31611993,,1
31612005,,1
32152137,,1
32153575,,1
32156577,,1
32161659,,1
32163211,,1
32165935,,1
33146525,,1
33148407,,1
33149235,,1
33149317,,1
33149797,,1
33151197,2013-05-10,1
33152433,,1
33153589,,1
33158305,,1
33162745,,1
33163059,,1
33585429,,1
33586087,,1
33586351,,1
33589123,,1
33668669,,1
33669115,,1
33669429,,1
33670647,,1
33671323,,1
33672793,,1
33674789,,1
33211979,,1
33213761,,1
33214157,,1
33675101,,1
33678255,,1
33681953,,1
32386785,,1
33155455,,1
33155965,,1
33157087,,1
33157879,,1
33161197,,1
32409191,,1
32409421,,1
32411351,,1
32416199,,1
32420211,,1
32420243,,1
33162183,,1
33162365,,1
33164279,,1
33164329,,1
33167087,,1
33045067,,1
33048829,,1
33048897,,1
33051667,,1
33058051,,1
33059175,,1
33059503,,1
33060875,,1
33061599,,1
32262655,,1
32262671,,1
32262885,,1
32263083,,1
32264073,,1
32264915,,1
32265625,,1
32269653,,1
32272751,,1
32275243,,1
32275999,,1
32276067,,1
32277009,,1
32277175,,1
32278113,,1
32278411,,1
32283147,,1
32288261,,1
32288957,,1
32289535,,1
32289765,2014-07-10,1
33165371,,1
33166477,,1
33167945,,1
32176675,,1
32179315,,1
32180103,,1
31423415,,1
32181359,,1
32183277,,1
31425641,,1
32185699,,1
32185851,,1
32185867,,1
32188291,,1
32190399,,1
33172661,,1
33173139,,1
33177349,,1
33178173,,1
33183837,,1
33185271,,1
33187085,,1
33196687,,1
33202539,,1
32195833,,1
32198851,,1
32202229,,1
33210957,,1
33211089,,1
33211255,,1
32970869,2015-12-18,1
32971977,,1
32973957,,1
32975901,,1
32977501,,1
32978623,,1
32983443,,1
32984069,,1
32987637,,1
32990007,,1
32996311,,1
32998491,,1
33000679,,1
33001277,,1
33067773,,1
33069701,,1
33069967,,1
33074683,,1
33075261,,1
33075327,,1
33077011,,1
33078049,,1
33078907,,1
33080045,,1
33250475,,1
33252205,,1
33256035,,1
32301379,,1
32301909,,1
32302635,,1
32305375,,1
32317005,,1
32319085,,1
33265111,,1
33268311,,1
33084287,,1
33085905,,1
33087439,,1
33088115,,1
33088131,,1
33090323,,1
33090969,,1
33092735,,1
33095805,,1
33096661,,1
33097009,,1
33272005,,1
33275375,,1
32457653,,1
33025053,,1
32458857,,1
33037577,,1
33040511,,1
33041851,,1
33216831,,1
33223251,,1
33223631,,1
33043285,2013-03-21,1
33276429,,1
33226019,,1
33276559,,1
33229175,,1
33277601,,1
33229291,,1
33281463,,1
33281895,,1
33281977,,1
33097951,,1
33098261,,1
33108577,,1
33110983,,1
33111363,,1
33111529,,1
33113359,,1
33113723,,1
33115293,,1
33118987,,1
33120489,,1
33231071,,1
33121217,,1
33123079,,1
33233727,,1
33126975,,1
33233759,,1
33127537,,1
33235905,,1
33128243,,1
33236433,,1
33134925,,1
33134941,,1
33136905,,1
33138225,,1
33143857,,1
33144363,,1
33237209,,1
33238429,,1
33239471,,1
33240721,,1
33243117,,1
33244865,,1
33245031,,1
33247491,,1
33047509,,1
33251333,,1
31428231,,1
32134813,,1
32135141,,1
32138691,,1
32139269,,1
32140587,,1
33146443,,1
32328241,,1
32328887,,1
32330103,,1
32330833,,1
32331593,,1
33149713,,1
33151641,,1
33158025,,1
33158999,,1
33160287,,1
32331823,,1
32333241,,1
32334345,,1
32336441,,1
32339217,,1
33172697,,1
33172859,,1
33173701,,1
33174459,,1
33176027,,1
33176937,,1
33180237,,1
32339727,,1
32341395,,1
36187597,,1
35885975,,1
35450005,,1
35887097,,1
35455799,,1
35887789,,1
35451145,2013-11-07,1
36353437,,1
35451459,,1
35451541,,1
36354505,,1
36355001,,1
35427569,,1
36355135,,1
35428029,,1
36356669,,1
35429633,,1
35434463,,1
36357231,,1
35434711,,1
36359955,,1
35460583,,1
35904219,,1
35905359,,1
35452251,,1
35906317,,1
35315781,,1
35906333,,1
35456623,,1
35906845,,1
35908263,,1
35437865,,1
35438953,,1
35909981,,1
35910027,,1
35911679,,1
35438969,,1
35913809,,1
35913991,,1
35317283,,1
35317333,,1
35319049,,1
35319991,,1
35323837,,1
35324297,,1
35457715,,1
35459843,,1
35460733,,1
35477465,,1
35487151,,1
35488387,,1
35489695,2013-07-30,1
35490959,,1
35491109,,1
35324577,,1
35326491,,1
35326855,,1
35329279,,1
35329461,,1
35336587,,1
35337233,,1
35338089,,1
35339693,,1
35341109,,1
35350133,,1
35350827,,1
35289449,,1
35294049,,1
35297335,,1
35300635,,1
35351899,,1
35355235,,1
33836603,,1
33836139,,1
33836655,,1
33836951,,1
33838551,,1
33840995,,1
33838583,,1
33839459,,1
33839577,,1
33842163,,1
33843537,,1
33844341,,1
33848667,,1
33851373,,1
33846239,,1
36201979,,1
35365829,,1
36207393,,1
34370281,,1
36208811,,1
35397857,,1
35400307,,1
36209207,,1
34910805,,1
34914089,,1
35404483,,1
34914255,,1
34915625,,1
34915723,,1
34373203,,1
34374887,,1
34374937,,1
36209519,,1
35404681,,1
35948211,,1
34375897,,1
35948903,,1
34377595,,1
35949715,,1
35409353,,1
34378367,,1
35410885,,1
34379575,,1
34379757,,1
35890097,,1
35413807,,1
35890705,,1
35892077,,1
34918527,,1
34919965,,1
35917671,,1
34920325,,1
35893315,,1
34922321,,1
35917801,2013-10-09,1
34926167,,1
36210409,,1
34926465,,1
36211467,,1
34928543,,1
35414381,,1
34930141,,1
35420123,,1
35421529,,1
34930605,,1
36213941,,1
36216761,,1
35897241,,1
34383749,,1
35897621,,1
35897901,,1
34383765,,1
35899319,,1
35423723,,1
35424829,,1
34383781,,1
34384755,,1
35900325,,1
35900773,,1
35901451,,1
35425573,,1
35428309,,1
36364491,,1
35430751,,1
36364719,,1
35921647,,1
35432019,,1
35432383,,1
35305023,,1
35305685,,1
35305699,,1
35305917,,1
35307483,,1
35307649,,1
35308983,,1
35310137,,1
35314693,,1
35316059,,1
35316491,,1
35317235,,1
35334211,,1
35337545,,1
35338057,,1
35338833,,1
35341887,,1
35345169,,1
35347513,,1
35350727,,1
35350925,,1
35351619,,1
35351737,2013-08-14,1
35352823,,1
35354225,,1
35354771,,1
35354901,,1
35355349,,1
35364043,,1
35364937,,1
35365349,,1
35406529,,1
35407519,,1
35409119,,1
35411149,,1
35411561,,1
36365251,,1
35413261,,1
36368435,,1
35414897,,1
36223181,,1
36224881,2013-09-06,1
35417371,,1
35417767,,1
35418259,,1
36225047,,1
35422963,,1
36370595,,1
35435983,2013-05-21,1
35436443,,1
36225459,,1
36225509,,1
36372159,,1
35438059,,1
35438125,,1
36230573,2013-06-13,1
36376203,,1
36379193,,1
36236217,,1
36236977,,1
36379985,,1
36237093,,1
36381273,,1
36381289,,1
36237519,,1
36381867,,1
36237587,,1
36382721,,1
36386369,,1
36386401,,1
36388631,,1
36391401,,1
36391485,,1
36391667,,1
36448953,,1
36449861,,1
36450485,,1
36453209,,1
36454081,,1
36455883,,1
36460667,,1
36461161,,1
36464049,,1
36465403,,1
36474411,,1
36479627,,1
36483405,,1
36485057,,1
36486209,,1
36486491,2013-06-19,1
36488303,,1
36489065,,1
36495549,,1
36495731,,1
36496671,,1
36501887,,1
36503007,,1
36503553,,1
36506519,,1
36509311,,1
36509541,,1
36511951,,1
36513337,,1
36513567,,1
36520249,,1
36521291,,1
35441263,,1
35443393,,1
35445555,,1
35449053,,1
35450287,,1
35451213,,1
35452317,,1
35453871,,1
35454049,,1
35455783,,1
35468801,,1
35471691,,1
35477631,,1
35489429,,1
35490829,,1
35491589,,1
35493371,,1
35493501,,1
35494523,,1
36523817,,1
35494773,,1
36333585,,1
35496753,,1
36334857,,1
35498551,,1
35499161,,1
36335185,,1
36335633,2013-08-23,1
35810959,,1
35812429,,1
35812777,,1
35713333,,1
36336603,,1
36337035,,1
35714173,,1
35715559,,1
36338219,,1
36338979,,1
36214301,,1
35816951,,1
36216563,,1
35718447,,1
36217109,,1
36397211,,1
35821719,,1
35824045,,1
36398645,,1
35719737,,1
36130947,,1
36402799,,1
35824211,,1
35824309,,1
36405575,,1
36342231,,1
35724289,,1
36342543,,1
36132069,,1
36343273,,1
36343835,,1
35825237,,1
36132829,,1
